picUrl,name,profileLink,department,deptLink
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Zac Elliott,https://pureportal.coventry.ac.uk/en/persons/zac-elliott,Centre for E-Mobility and Clean Growth,https://pureportal.coventry.ac.uk/en/organisations/centre-for-e-mobility-and-clean-growth
https://pureportal.coventry.ac.uk//files-asset/51229170/David_Ellis_5702.jpeg,David Ellis,https://pureportal.coventry.ac.uk/en/persons/david-ellis,School of Strategy and Leadership,https://pureportal.coventry.ac.uk/en/organisations/school-of-strategy-and-leadership
https://pureportal.coventry.ac.uk//files-asset/25735963/IMG_4496.JPG,Simon Ellis,https://pureportal.coventry.ac.uk/en/persons/simon-ellis,Research Centre for Dance Research (CDaRE),https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-dance-research-cdare
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Basil Elmasri,https://pureportal.coventry.ac.uk/en/persons/dr-basil-elmasri-elmasri,"School of Computing, Mathematics and Data Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-computing-mathematics-and-data-sciences
https://pureportal.coventry.ac.uk//files-asset/52205826/new_photo0503_one.jpg,Ahmed Elmasry,https://pureportal.coventry.ac.uk/en/persons/ahmed-elmasry,Research Centre for Financial & Corporate Integrity,https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-financial-corporate-integrity-2
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Ibrahim Elmghaamez,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,"School of Economics, Finance and Accounting",https://pureportal.coventry.ac.uk/en/organisations/school-of-economics-finance-and-accounting
https://pureportal.coventry.ac.uk//files-asset/116870/photo.jpeg,Mark Elshaw,https://pureportal.coventry.ac.uk/en/persons/mark-elshaw,"School of Computing, Mathematics and Data Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-computing-mathematics-and-data-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Mohamed Elshimy,https://pureportal.coventry.ac.uk/en/persons/mohamed-elshimy,School of Future Transport Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-future-transport-engineering
https://pureportal.coventry.ac.uk//files-asset/43046210/Picture_self.png,Jen Elvy,https://pureportal.coventry.ac.uk/en/persons/jen-elvy,"Research Centre for Arts, Memory and Communities",https://pureportal.coventry.ac.uk/en/organisations/research-centre-for-arts-memory-and-communities
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Lloyd Emeka,https://pureportal.coventry.ac.uk/en/persons/lloyd-emeka,"School of Psychological, Social and Behavioural Sciences",https://pureportal.coventry.ac.uk/en/organisations/school-of-psychological-social-and-behavioural-sciences
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Nwabueze Emekwuru,https://pureportal.coventry.ac.uk/en/persons/nwabueze-emekwuru,School of Mechanical Engineering,https://pureportal.coventry.ac.uk/en/organisations/school-of-mechanical-engineering
https://pureportal.coventry.ac.uk//files-asset/40562251/Ini_headshot_for_ID_large_coloured_07.09.2020.PNG,Iniobong Enang,https://pureportal.coventry.ac.uk/en/persons/iniobong-enang,School of Strategy and Leadership,https://pureportal.coventry.ac.uk/en/organisations/school-of-strategy-and-leadership
https://pureportal.coventry.ac.uk//assets/no-portrait-473c6d005990baa1f418d9c668dcd4ec.png,Nnenna Enebeli,https://pureportal.coventry.ac.uk/en/persons/nnenna-enebeli,"School of Nursing, Midwifery and Health",https://pureportal.coventry.ac.uk/en/organisations/school-of-nursing-midwifery-and-health
